time_utc,site_lat,site_lon,daily_station_precip_mm,nearest_gp_lat,nearest_gp_lon,cape_255,cin_255,pwat,nearest_px_lat,nearest_px_lon,nearest_px_precip,nearest_px_err,nearest_px_pqi,nearest_px_plp,sw_px_lat,sw_px_lon,sw_px_precip,se_px_lat,se_px_lon,se_px_precip,nw_px_lat,nw_px_lon,nw_px_precip,ne_px_lat,ne_px_lon,ne_px_precip,interp_precip,station_id
2024-06-18 00:00:00+00:00,943.536,3502.608,7.62,948,3504,32096.5,-64.5,3130.919968,943.1999818,3501.599854,28.07999904,141.5099973,26.38900113,4800,943.1999818,3501.599854,28.07999904,943.1999818,3506.39978,42.35999956,948,3501.599854,23.32999958,948,3506.39978,23.65999931,30.54177574,GEV
2024-06-19 00:00:00+00:00,943.536,3502.608,38.1,948,3504,29368.5,-168,3260.954357,943.1999818,3501.599854,54.44999939,225.5299952,26.3740012,4800,943.1999818,3501.599854,54.44999939,943.1999818,3506.39978,31.10999903,948,3501.599854,100.909998,948,3506.39978,49.98999942,52.39432632,GEV
2024-06-20 00:00:00+00:00,943.536,3502.608,343.408,948,3504,39237.5,-289,3064.457041,943.1999818,3501.599854,209.1799969,575.339991,27.62500131,4800,943.1999818,3501.599854,209.1799969,943.1999818,3506.39978,156.1799975,948,3501.599854,136.2699977,948,3506.39978,201.3099962,194.6796993,GEV
2024-06-21 00:00:00+00:00,943.536,3502.608,18.796,948,3504,42104,-281,2546.370497,943.1999818,3501.599854,0.339999988,14.24999969,27.70900131,4800,943.1999818,3501.599854,0.339999988,943.1999818,3506.39978,3.009999931,948,3501.599854,0,948,3506.39978,0,0.837751857,GEV
2024-06-22 00:00:00+00:00,943.536,3502.608,20.828,948,3504,35973,-350.5,2820.789619,943.1999818,3501.599854,7.479999843,56.05999885,27.71500117,4800,943.1999818,3501.599854,7.479999843,943.1999818,3506.39978,3.379999955,948,3501.599854,3.689999919,948,3506.39978,2.240000009,6.392498159,GEV
2024-06-23 00:00:00+00:00,943.536,3502.608,4.064,948,3504,31098,-502,3361.547184,943.1999818,3501.599854,55.48999921,247.3199973,25.40200118,4800,943.1999818,3501.599854,55.48999921,943.1999818,3506.39978,55.94999808,948,3501.599854,40.25999904,948,3506.39978,36.63999957,54.4605381,GEV
2024-06-24 00:00:00+00:00,943.536,3502.608,0.508,948,3504,39559,-207.5,3480.351486,943.1999818,3501.599854,2.96999985,29.3299993,26.60900104,4800,943.1999818,3501.599854,2.96999985,943.1999818,3506.39978,0.829999967,948,3501.599854,0.870000003,948,3506.39978,1.70999999,2.417328516,GEV
2024-06-25 00:00:00+00:00,943.536,3502.608,0,948,3504,58809,-76,3407.736172,943.1999818,3501.599854,0.299999982,13.62999967,26.52000114,4800,943.1999818,3501.599854,0.299999982,943.1999818,3506.39978,1.73999995,948,3501.599854,0.499999989,948,3506.39978,0.669999966,0.597785648,GEV
2024-06-26 00:00:00+00:00,943.536,3502.608,86.36,948,3504,57195,-161.5,3439.438023,943.1999818,3501.599854,42.6399997,169.0399976,27.42900115,4800,943.1999818,3501.599854,42.6399997,943.1999818,3506.39978,34.85999959,948,3501.599854,35.7599997,948,3506.39978,50.55999826,40.85627629,GEV
2024-06-27 00:00:00+00:00,943.536,3502.608,48.26,948,3504,33967,-1129,3635.535664,943.1999818,3501.599854,24.39999951,124.7899972,27.55200124,4800,943.1999818,3501.599854,24.39999951,943.1999818,3506.39978,17.92999966,948,3501.599854,28.14999937,948,3506.39978,15.8199997,23.2173767,GEV
